0																				
1600	0																			
1600	910	0																		
1900	1200	350	0																	
1900	1000	513	674	0																
1700	822	422	583	356	0															
2000	1600	1300	1400	742	815	0														
2000	1900	1500	1700	936	1100	419	0													
2000	1300	457	323	723	632	1500	1700	0												
1600	1600	1400	1500	1200	931	827	804	1600	0											
1200	1600	1400	1700	1500	1300	1500	1600	1700	924	0										
786	545	1300	1600	1400	1200	2000	2400	1700	2000	2000	0									
557	1700	1700	2000	1800	1600	2500	2600	2000	2000	1400	2100	0								
1100	789	769	1100	881	681	1500	1800	1100	1500	1400	1200	882	0							
1300	625	605	921	717	517	1300	1600	970	1900	1300	1000	1200	271	0						
1400	252	1000	1300	1100	923	1700	2000	1400	1700	1700	551	1800	886	718	0					
995	1100	1200	1500	1300	1100	1900	2200	1600	1900	1900	1300	1100	1000	860	808	0				
1300	594	1400	1700	1500	1300	2100	2400	1700	2000	2000	852	1600	1200	1100	341	668	0			
1200	662	1400	1700	1500	1300	2100	2500	1800	2100	2100	920	1400	1300	1100	409	604	240	0		
1200	1100	1900	2200	2000	1800	2600	2900	2200	2500	2500	1400	1500	1700	1600	839	700	670	382	0	
1400	154	674	990	786	586	1400	1700	1000	1900	1400	536	1400	504	315	241	593	583	651	1100	0
